a: ə; e
abalone: ,æbə'loni
accentuate: ək'sɛntʃuet
accept: əkˈsept
acceptable: ək'septəbl
acceptance: ək'sɛptəns
access: 'ækses
accessary: æk'sɛsəri
accessibility: æk,sɛsə'bɪləti
accessible: ək'sesəbl
accession: æk'sɛʃən
accessory: ək'ses(ə)rɪ
accident: ˈæksɪdənt
accidental: ,æksɪ'dɛntl
accidentally: ,æksə'dɛntli
acclaim: ə'kleɪm
acclimate: 'ækləmet
acclimatise: ə'klaɪmətaɪz
acclivity: ə'klɪvəti
accolade: 'ækəled
accommodate: ə'kɒmədeɪt
accommodation: əkɒmə'deɪʃ(ə)n
accompaniment: ə'kʌmpənɪmənt
accompanist: ə'kʌmpənɪst
accompany: ə'kʌmpənɪ
accomplice: ə'kɑmplɪs
accomplish: ə'kʌmplɪʃ
accomplishment: ə'kɑmplɪʃmənt
accord: ə'kɔːd
accordance: ə'kɔrdns
according: ə'kɔrdɪŋ
accordingly: ə'kɔrdɪŋli
accordion: ə'kɔrdɪən
accost: ə'kɔst
account: ə'kaʊnt
account for: əkˈaʊnt fˈɔr
accountable: ə'kaʊntəb(ə)l
accountancy: ə'kauntənsi
accountant: ə'kaʊnt(ə)nt
accounting: ə'kaʊntɪŋ
accouter: ə'ku:tə
accredit: ə'kredɪt
accreditation: əˌkredɪ'teɪʃn
accrete: ə'krit
accrue: ə'kru
accumulate: ə'kjuːmjʊleɪt
accumulation: ə,kjʊmjə'leʃən
accumulator: ə'kjumjəletɚ
accuracy: 'ækjərəsi
accurate: 'ækjərət
accursed: ə'kɝsɪd
accusation: ,ækju'zeʃən
accusatory: ə'kjuzətɔri
accuse: ə'kjuːz
accustom: ə'kʌstəm
accustomed: ə'kʌstəmd
acerbic: ə'sɝbɪk
acerbity: ə'sɝbəti
acetate: 'æsɪtet
ache: ek
achievable: ə'tʃivəbl
achieve: ə'tʃiːv
achievement: ə'tʃiːvmənt
achingly: 'ekɪŋli
achondrite: e'kɑn,draɪt
achromatic: ,ækrə'mætɪk
acid: 'æsɪd
acidic: ə'sɪdɪk
acidify: ə'sɪdə'fai
acidity: ə'sɪdəti
acknowledge: ək'nɒlɪdʒ
acme: 'ækmi
acne: 'ækni
acorn: 'ekɔrn
acoustic: ə'kuːstɪk
acoustical: ə'kʊstɪkl
acoustics: ə'kustɪks
acquaint: ə'kweɪnt
acquaintance: ə'kweɪntəns
acquainted: ə'kwentɪd
acquiesce: ,ækwi'es
acquiescence: 'ækwɪ'ɛsns
acquire: ə'kwaɪə
acquired: ə'kwaɪrd
acquisition: ,ækwɪ'zɪʃ(ə)n
acquit: ə'kwɪt
acquittal: ə'kwɪtl
acre: 'ekɚ
acreage: 'ekərɪdʒ
acrid: 'ækrɪd
acrimony: ækrɪmoni
acrobat: 'ækrəbæt
acrobatic: ˌækrə'bætɪk
acronym: 'ækrənɪm
across: əˈkrɔs
act: ækt
acting: 'æktɪŋ
action: ˈækʃ(ə)n
activate: 'æktɪveɪt
active: ˈæktɪv
actively: 'æktivli
activist: 'æktɪvɪst
activity: ækˈtɪvɪtɪ
actor: 'æktɚ
actress: 'æktrɪs
actual: 'æktʃʊəl
actually: 'æktʃuəli
actuary: 'æktʃuɛri
actuate: 'æktʃuet
acumen: 'ækjəmən
acupuncture: 'ækjʊpʌŋktʃə(r)
acute: ə'kjuːt
acutely: ə'kjutli
ad: 'e 'di
adamant: 'ædəmənt
adapt: ə'dæpt
adaptability: ə,dæptə'bɪləti
adaptable: ə'dæptəbl
adaptation: ˌædæp'teɪʃn
adaptive: ə'dæptɪv
add: æd
addendum: ə'dɛndəm
addict: 'ædɪkt (for n.); əˈdɪkt (for v.)
addicted: ə'dɪktɪd
addiction: ə'dɪkʃn
addictive: ə'dɪktɪv
addition: ə'dɪʃn
additional: ə'dɪʃənl
additionally: ə'dɪʃənli
additive: 'ædətɪv
addle: 'ædl
address: ə'dres
adduce: ə'dus
adept: ə'dɛpt
adequacy: 'ædəkwəsi
adequate: 'ædɪkwət
adequately: 'ædikwitli
adhere: əd'hɪə
adherence: əd'hɪrəns
adherent: əd'hɪrənt
adhesion: əd'hiʒn
adhesive: əd'hisɪv
adjacent: ə'dʒeɪs(ə)nt
adjective: 'ædʒɪktɪv
adjoin: ə'dʒɒɪn
adjunct: 'ædʒʌŋkt
adjuration: ,ædʒuə'reiʃən
adjust: ə'dʒʌst
adjustable: ə'dʒʌstəbl
adjustment: ə'dʒʌstmənt
adjutant: 'ædʒʊtənt
administer: əd'mɪnɪstə
administration: ədmɪnɪ'streɪʃ(ə)n
administrative: əd'mɪnɪstrətɪv
administrator: əd'mɪnɪstreɪtə(r)
admirable: 'ædmərəbl
admiral: 'ædmərəl
admiration: ,ædmə'reʃən
admire: ədˈmaɪr
admissible: əd'mɪsəbl
admission: əd'mɪʃ(ə)n
admit: əd'mit
admittance: əd'mɪtns
admittedly: əd'mɪtɪdli
admonish: əd'mɑnɪʃ
admonition: ,ædmə'nɪʃən
ado: ə'du
adobe: ə'dəubi
adolescence: ædə'les(ə)ns
adolescent: ˌædə'lesnt
adopt: ə'dɒpt
adoption: ə'dɑpʃən
adoptive: ə'dɑptɪv
adoration: ,ædə'reʃən
adore: ə'dɔː
adorn: ə'dɔrn
adornment: ə'dɔ:nmənt
adrenaline: æˈdrɛnəˌlɪn
adrift: ə'drɪft
adroit: ə'drɔɪt
adulate: 'ædjuleit
adulatory: 'ædʒələ,tori
adult: 'ædʌlt
adulterant: ə'dʌltərənt
adulterate: ə'dʌltəret
adulthood: 'ædʌlthʊd
adumbrate: ˈædəmbreɪt
advance: əd'vɑːns
advanced: əd'vɑːnst
advancement: əd'vænsmənt
advantage: ədˈvɑːntɪdʒ
advantageous: ˌædvən'teɪdʒəs
advantageously: ,ædvən'teidʒəsli
advent: 'ædvәnt
adventitious: ,ædvɛn'tɪʃəs
adventure: əd'ventʃə(r)
adventurer: əd'vɛntʃərɚ
adventurous: əd'ventʃərəs
adverb: 'ædvɝb
adversary: 'ædvɚsɛri
adverse: 'ædvɜːs
adversely: æd'vɝsli
adversity: əd'vɝsəti
advert: ædˈvɚt
advertise: 'ædvətaɪz
advertisement: ədˈvɜːtɪsmənt
advertiser: 'ædvɚtaɪzɚ
advice: ədˈvaɪs
advisable: əd'vaɪzəbl
advise: əd'vaɪz
adviser: əd'vaɪzɚ
advisory: əd'vaɪzəri
advocacy: 'ædvəkəsi
advocate: 'ædvəkeɪt；-ət
advocator: 'ædvəkeɪtə
aerate: 'ɛret
aeration: ˌeə'reɪʃn
aerial: 'eərɪəl
aero: 'ɛro
aerobics: eə'rəubɪks
aerodynamic: ,ɛrodaɪ'næmɪk
aeronaut: 'ɛrənɔt
aeronautics: ˌeərə'nɔːtɪks
aeroplane: 'eərəpleɪn
aerosol: 'ɛrəsɔl
aerospace: 'eərəuspeɪs
aerostat: 'ɛrəstæt
aesthetic: iːs'θetɪk; es-
aesthetically: ɛs'θɛtɪkli
afar: ə'fɑ:
affable: 'æfəbl
affair: ə'fɛr
affect: ə'fekt
affectation: ,æfɛk'teʃən
affected: ə'fɛktɪd
affection: ə'fekʃ(ə)n
affectional: ə'fekʃənəl
affectionate: ə'fɛkʃənət
affiliate: ə'fɪlɪeɪt
affiliation: ə,fɪlɪ'eʃən
affinity: ə'fɪnəti
affirm: ə'fɜːm
affirmation: ,æfɚ'meʃən
affix: ə'fɪks
afflict: ə'flɪkt
afflicting: ə'flɪktɪŋ
affluence: 'æflʊəns
affluent: 'æflʊənt
afford: əˈfɔːd
affordable: ə'fɔrdəbl
affray: ə'fre
affront: ə'frʌnt
afghanistan: æf'gænə,stæn
afield: ə'fiːld
afire: ə'faɪr
afloat: ə'flot
afoot: ə'fʊt
aforesaid: ə'fɔ:sed
afoul: ə'faʊl
afraid: əˈfreɪd
afresh: ə'frɛʃ
africa: ˈæfrɪkə
african: 'æfrɪkən
after: ˈɑːftə(r)
afterlife: 'æftəlaɪf
aftermath: 'æftəmæθ
afternoon: ɑːftəˈnuːn
afterthought: 'æftəθɔt
afterward: ˈæftərwərd
afterwards: 'æftɚwɚdz
again: əˈɡeɪn
against: əˈɡeɪnst
agape: ə'ɡep
age: eɪdʒ
ageism: 'edʒ'ɪzəm
agency: 'eɪdʒ(ə)nsɪ
agenda: ə'dʒendə
agent: 'edʒənt
agglomerate: ə'ɡlɑməret
aggrandize: əˈɡrænˌdaɪz, ˈæɡrən-
aggravate: 'ægrəveɪt
aggravation: ˌægrə'veɪʃn
aggregate: 'ægrɪgət; (for v.) ˈægrɪgeɪt
aggregation: ,ægrɪ'geʃən
aggress: ə'ɡres
aggression: ə'ɡrɛʃən
aggressive: ə'gresɪv
aggressiveness: ə'gresɪvnɪs
aggrieve: ə'griv
aghast: ə'ɡæst
agile: 'ædʒaɪl
agility: ə'dʒiləti
agitate: ˈædʒɪˌteɪt
agitation: ædʒɪ'teɪʃ(ə)n
ago: əˈɡəʊ
agonize: 'æɡənaɪz
agony: 'ægənɪ
agrarian: ə'ɡrɛrɪən
agree: əˈɡriː
agreeable: ə'griːəb(ə)l
agreement: ə'griːm(ə)nt
agricultural: ,ægrɪ'kʌltʃərəl
agriculturalist: ,æɡrɪ'kʌltʃərəlɪst
agriculturally: ˌæɡrɪkˈʌltʃɚəli
agriculture: 'ægrɪkʌltʃə(r)
ahead: ə'hɛd
aid: ed
aide: ed
aids: edz
aie: ˌeɪ aɪ ˈiː
ail: el
ailment: 'eɪlmənt
aim: em
air: eə(r)
air-conditioning: 'eəkənˌdɪʃənɪŋ
airborne: 'ɛr'bɔrn
aircraft: ˈeəkrɑːft
airflow: 'ɛrflo
airing: 'eərɪŋ
airline: ˈeəlain
airmail: 'ɛrmel
airplane: ˈeəpleɪn
airport: ˈeəpɔːt
airspace: 'ɛr'spes
airstream: 'ɛrstrim
airtight: 'eətaɪt
airway: 'ɛrwe
airy: 'ɛri
aisle: aɪl
akin: ə'kɪn
ala: 'elə
alacrity: ə'lækrəti
alarm: ə'lɑːm
alas: ə'læs
alaska: ə'læskə
alaskan: əlˈæskən
albedo: æl'bido
albeit: ˌɔːl'biːɪt
album: 'ælbəm
alchemist: 'ælkəmɪst
alchemy: 'ælkəmi
alcohol: 'ælkəhɒl
alcoholic: ,ælkə'hɔlɪk
alcove: 'ælkov
alder: 'ɔldɚ
alderman: 'ɔldɚmən
aldosterone: æl'dɑstə,ron
alert: ə'lɜːt
alertness: ə'lɝtnɪs
alga: 'ælgɚ
algae: 'ældʒi
algebra: 'ældʒɪbrə
alias: ˈeɪliəs
alien: 'eɪlɪən
alienable: 'elɪənəbl
alienate: 'eɪlɪəneɪt
alienation: ˌeɪliə'neɪʃn
alight: ə'laɪt
align: ə'laɪn
alignment: ə'laɪnmənt
alike: əˈlaɪk
aliment: 'ælɪmɛnt
alimentary: ,ælɪ'mɛntəri
alive: əˈlaɪv
alkali: 'ælkə'lai
alkaline: 'ælkə'laɪn
alkaloid: 'ælkə'lɔɪd
all: ɔːl
allay: ə'le
allege: ə'ledʒ
alleged: əˈlɛdʒd
allegedly: ə'lɛdʒɪdli
allegiance: ə'liːdʒ(ə)ns
allegory: 'æləɡɔri
allende: ˌɑjˈɛndeɪ
allergic: ə'lɜːdʒɪk
allergy: 'ælɚdʒi
alleviate: ə'liːvɪeɪt
alley: 'ælɪ
alliance: ə'laɪəns
allied: əˈlaɪd,ˈælˌaɪd
alligator: 'æləˌɡetɚ
allocate: 'æləkeɪt
allocation: ˌælə'keɪʃn
allot: ə'lɒt
allotment: ə'lɑtmənt
allow: əˈlaʊ
allowance: ə'laʊəns
alloy: 'ælɒɪ
allude: ə'lʊd
allure: ə'luə(r)
allusion: ə'lʊʒən
alluvial: ə'luːviəl
ally: 'ælaɪ
almanac: 'ɔlmənæk
almond: 'ɑːmənd
almost: ˈɔːlməʊst
aloft: ə'lɔft
alone: əˈləʊn
along: əˈlɔŋ; (US) əˈlɔŋ
alongside: əlɒŋ'saɪd
aloof: ə'luf
aloud: ə'laʊd
alp: ælp
alpha: 'ælfə
alphabet: 'ælfə'bɛt
alphabetical: ælfə'betɪk(ə)l
alphabetically: ,ælfə'bɛtɪkli
alpine: ˈælpˌaɪn
already: ɔːlˈredɪ
alright: ɔːl'raɪt
also: ˈɔːlsəʊ
altar: 'ɔltɚ
alter: 'ɔːltə; 'ɒl-
alteration: ,ɔltə'reʃən
altercation: ,ɔltɚ'keʃən
alternate: 'ɔːltəneɪt; 'ɒl-
alternately: 'ɔltɚnɪtli
alternative: ɔːl'tɜːnətɪv; ɒl-
alternatively: ɔl'tɝnətɪvli
although: ɔːlˈðəʊ
altimeter: æl'tɪmətɚ
altitude: 'æltɪtjuːd
alto: 'ælto
altogether: ,ɔltə'ɡɛðɚ
altruism: 'æltruɪzəm
altruist: 'æltruist
altruistic: ˌæltru'ɪstɪk
alumina: ə'lumɪnə
aluminium: ˌæljə'mɪniəm
aluminum: ə'lʊmɪnəm
aluminumal: ə'ljuːminəm
alumnus: ə'lʌmnəs
alveolar: æl'viəlɚ
always: ˈɔːlweɪz
am: æm
amalgamation: ə,mælgə'meʃən
amass: ə'mæs
amateur: 'æmətə; -tʃə; -tjʊə; ,æmə'tɜː
amatory: 'æmətəri, ,æmə'tɔ:riəl, ,æmə'tɔ:riəs
amaze: əˈmeɪz
amazement: ə'mezmənt
amazing: əˈmeɪzɪŋ
amazingly: əmˈeɪzɪŋli
ambassador: æm'bæsədə
ambassadress: æm'bæsədrɛs
ambidextrous: 'æmbə'dɛkstrəs
ambience: 'æmbɪəns
ambient: 'æmbɪənt
ambiguity: æmbɪ'gjuːɪtɪ
ambiguous: æm'bɪgjʊəs
ambition: æm'bɪʃ(ə)n
ambitious: æm'bɪʃəs
ambivalent: æm'bɪvələnt
amble: 'æmbl
ambrosial: æm'brəuzjəl,-zjən
ambulance: 'æmbjʊl(ə)ns
ambulate: 'æmbjuleit
ambush: 'æmbʊʃ
ameliorate: ə'milɪə'ret
amenable: ə'minəbl
amend: ə'mend
amendment: ə'mɛndmənt
amends: ə'men(d)z
amenity: ə'mɛnəti
america: əˈmerɪkə
american: əˈmerɪkən
americana: ə'merikɑ:nə
americanism: ə'merikənizəm
amiable: 'emɪəbl
amicable: 'æmɪkəbl
amid: ə'mɪd
amidst: ə'mɪdst
amino: ə'mino
amity: 'æməti
ammonia: ə'monɪə
ammunition: æmjʊ'nɪʃ(ə)n
amnesia: æm'niʒə
amniotic: ,æmnɪ'otɪk
amok: ə'mɑk
among: əˈmʌŋ
amongst: ə'mʌŋst
amorous: 'æmərəs
amorphous: ə'mɔːfəs
amount: ə'maʊnt
amour: ə'mʊr
ampere: æm'pɪr
amphibian: æm'fɪbɪən
amphibious: æm'fɪbiəs
amphitheater: ,æmfɪ'θɪətɚ
ample: 'æmp(ə)l
amplification: ,æmpləfə'keʃən
amplifier: 'æmplɪfaɪɚ
amplify: 'æmplɪfaɪ
amplitude: 'æmplə'tʊd
amply: 'æmpli
amputate: 'æmpjutet
amsterdam: ,æmstɚ'dæm
amuse: ə'mjuːz
amusement: ə'mjuzmənt
amusing: ə'mjuzɪŋ
an: ən,æn
anachronism: ə'nækrənɪzəm
anachronistic: ə,nækrə'nistik,-kəl
anaerobic: ,ænɛ'robɪk
anaerobic respiration: ˌænɚˈoʊbɪk rˌɛspɚˈeɪʃən
analog: 'ænəlɔg
analogous: ə'næləgəs
analogue: 'ænəlɔ:g
analogy: ə'nælədʒɪ
analyse: 'ænəlaɪz
analysis: ə'næləsɪs
analyst: 'ænəlɪst
analytic: ,ænə'lɪtɪk
analytical: ænə'lɪtɪk(ə)l
analyze: 'ænə,laɪz
anarchist: 'ænɚkɪst
anarchy: 'ænɚki
anathema: ə'næθəmə
anatomy: ə'nætəmi
ancestor: 'ænsestə
ancestral: æn'sestrəl
ancestry: 'ænsɛstri
anchor: 'æŋkə
ancient: 'eɪnʃənt
ancillary: 'ænsəlɛri
and: ənd, ænd
andromeda: æn'drɑmədə
anecdotal: ˌænɪk'dəutl
anecdote: 'ænɪkdəʊt
anemia: ə'nimɪə
anemometer: ,ænɪ'mɑmɪtɚ
anemone: ə'nɛməni
anesthetic: ,ænɪs'θɛtɪk
anew: ə'nʊ
angel: ˈeindʒəl
angelic: æn'dʒɛlɪk
anger: 'æŋɡɚ
angiosperm: 'ændʒɪo,spɝm
angiotensin: ,ændʒɪo'tɛnsən
angle: 'æŋgl
anglo: 'æŋɡləu
anglo-saxon: ,æŋɡləu'sæksən
angry: ˈænɡrɪ
angstrom: 'æŋstrəm
anguish: 'æŋɡwɪʃ
angular: 'æŋɡjəlɚ
anhydrous: æn'haɪdrəs
animadversion: ,ænəmæd'vɝʃən
animadvert: ,ænəmæd'vɝt
animal: ˈænɪm(ə)l
animate: 'ænɪmeɪt
animation: ,ænɪ'meʃən
animosity: 'ænə'mɑsəti
ankle: 'æŋkl
annalist: 'ænəlɪst
annals: 'ænlz
annex: əˈnɛks; æˈnɛks; (for n.) ˈænˌɛks
annihilate: ə'naɪɪleɪt
annihilation: ə,naɪə'leʃən
anniversary: ænɪ'vɜːs(ə)rɪ
annotate: 'ænə'tet
annotation: ˌænəˈteʃən
announce: ə'nauns
announcement: ə'naʊnsmənt
announcer: ə'naʊnsɚ
annoy: ə'nɒɪ
annoyed: ə'nɔɪd
annual: 'ænjʊəl
annually: 'ænjuəli
annuity: ə'njuːɪtɪ
annul: ə'nʌl
anode: 'ænod
anomalous: ə'nɑmələs
anomaly: ə'nɑməli
anomie: 'ænəmi
anonymous: ə'nɒnɪməs
another: əˈnʌðə(r)
answer: ˈɑːnsə(r); (US) ˈænsər
ant: ænt
antagonism: æn'tæg(ə)nɪz(ə)m
antagonist: æn'tæɡənɪst
antagonistic: æn,tæɡə'nɪstɪk
antagonize: æn'tæɡənaɪz
antarctic: æntˈɑrktɪk
antarctica: æn'tɑrktɪkə
ante-room: ˈænti rˈum
anteater: 'æntitɚ
antecede: ,ænti'si:d
antecedent: ,æntɪ'siːd(ə)nt
antedate: ,æntɪ'det
antediluvian: ,æntɪdɪ'luvɪən
antelope: 'æntɪlop
antemeridian: ,æntimə'ridiən
antemundane: ,æntɪ'mʌndeɪn
antenatal: 'æntə'netl
antenna: æn'tɛnə
anterior: æn'tɪrɪɚ
anthem: 'ænθəm
anthocyanin: ,ænθə'saɪənɪn
anthology: æn'θɒlədʒɪ
anthropoid: 'ænθrəupɔid
anthropological: ,ænθrəpə'lɑdʒɪkl
anthropologically: ,ænθrəpə'lɔdʒikəli
anthropologist: ˌænθrə'pɒlədʒɪst
anthropology: ,ænθrə'pɒlədʒɪ
anthropomorphism: ,ænθrəpə'mɔrfɪzəm
anti: 'æntaɪ
antibiotic: ,æntɪbaɪ'ɒtɪk
antibiotics: ,æntɪbaɪ'ɑtɪks
antibody: 'æntɪ'bɑdi
anticipate: æn'tɪsɪpeɪt
anticipation: æntɪsɪ'peɪʃ(ə)n
anticlimax: ,æntɪ'klaɪmæks
anticyclone: ,æntɪ'saɪ'klon
antidote: 'æntidəut
antifungal: ,ænti'fʌŋɡəl; ,æntaɪfʌŋɡəl
antilogy: æn'tɪlədʒi
antipathy: æn'tɪpəθi
antipodes: æn'tɪpə,diz
antiquarian: ,æntɪ'kwɛrɪən
antiquary: 'æntɪ,kwɛri
antiquate: 'æntə,kwet
antiquated: 'æntɪkweɪtɪd
antique: æn'tiːk
antiquity: æn'tɪkwəti
antiseptic: ˌænti'septɪk
antitoxin: ,æntɪ'tɑksɪn
antonym: 'æntənɪm
anvil: 'ænvɪl
anxiety: æŋ'zaɪətɪ
anxious: 'æŋkʃəs
anxiously: ˈæŋkʃəsli
any: ˈenɪ
anybody: 'ɛnɪbɑdi
anyhow: ˈenɪhaʊ
anymore: ɛnɪ'mɔr
anyone: ˈenɪwʌn
anyplace: 'ɛnɪples
anything: ˈenɪθɪŋ
anytime: 'ɛnɪ,taɪm
anyway: 'ɛnɪ'we
anywhere: ˈenɪweə(r)
apace: ə'peɪs
apart: ə'pɑːt
apartment: ə'pɑrtmənt
apathetic: ,æpə'θɛtɪk
apathy: 'æpəθi
ape: eɪp
aperture: 'æpətʃɚ
apex: 'epɛks
aphid: 'eɪfɪd
aphorism: 'æfərɪzəm
apiece: ə'pis
apogee: 'æpədʒi
apologetic: əpɒlə'dʒetɪk
apologise: ə'pɔlədʒaɪz
apologize: əˈpɔlədʒaɪz
apology: əˈpɔlədʒɪ
apostasy: ə'pɔstəsi
apostate: /əˈpɑːsteɪt/
apothecary: ə'pɑθə'kɛri
apotheosis: ə,pɑθɪ'osɪs
appal: ə'pɔl
appalachian: ,æpə'leitʃjən
appall: ə'pɔl
appalling: ə'pɔlɪŋ
apparatus: ˌæpəˈreɪtəs
apparent: ə'pær(ə)nt
apparently: ə'pærəntli
apparition: ,æpə'rɪʃən
appeal: ə'piːl
appealing: əˈpiːlɪŋ
appear: ə'pɪə(r)
appearance: ə'pɪərəns
appease: ə'piz
appellate: ə'pɛlɪt
appellation: ,æpə'leʃən
append: ə'pɛnd
appendage: ə'pɛndɪdʒ
appendix: ə'pendɪks
appertain: ,æpɚ'ten
appetite: 'æpɪtaɪt
applaud: ə'plɔːd
applause: ə'plɔz
apple: ˈæp(ə)l
appliance: ə'plaɪəns
applicability: ,æplɪkə'bɪləti
applicable: 'æplɪkəbl
applicant: 'æplɪk(ə)nt
application: ˌæplɪ'keɪʃn
apply: ə'plaɪ
appoint: ə'pɔɪnt
appointment: ə'pɒɪntm(ə)nt
apportion: ə'pɔːʃn
apportionment: ə'pɔrʃənmənt; ə'porʃənmənt
apposite: 'æpəzɪt
apposition: 'æpə'zɪʃən
appraisal: ə'preɪz(ə)l
appraise: ə'prez
appreciable: ə'priːʃəb(ə)l; -ʃɪə-
appreciably: ə'pri:ʃəbli
appreciate: ə'priːʃɪeɪt; -sɪ-
appreciation: ə,priʃɪ'eʃən
appreciative: ə'priʃətɪv
apprehend: ,æprɪ'hɛnd
apprehensible: ,æpri'hensəbl
apprehension: æprɪ'henʃ(ə)n
apprehensive: ,æprɪ'hɛnsɪv
apprentice: ə'prentɪs
apprenticeship: ə'prɛntɪʃɪp
apprise: ə'praiz
approach: ə'prəʊtʃ
approbation: 'æprə'beʃən
appropriate: ə'prəʊprɪət
appropriately: ə'proprɪ,etlɪ
appropriation: ə,proprɪ'eʃən
approval: ə'pruːv(ə)l
approve: ə'pruːv
approximate: ə'prɒksɪmət
approximately: ə'prɒksɪmətli
approximation: ə'prɑksə'meʃən
april: ˈeɪpr(ə)l
apron: 'eprən
apt: æpt
aptitude: 'æptɪtjuːd
aptly: 'æptli
aquarium: ə'kweərɪəm
aquatic: ə'kwætɪk; -'kwɒt-
aqueduct: 'ækwɪ'dʌkt
aqueous: 'ekwɪəs
aquifer: 'ækwɪfɚ
arab: 'ærəb
arabian: ə'rebiən
arabic: ˈærəbɪk
arable: 'ærəbl
aragonite: ə'rægə,naɪt
arbiter: 'ɑrbɪtɚ
arbitrary: 'ɑːbɪt(rə)rɪ
arbitrate: 'ɑrbɪtret
arbor: 'ɑrbɚ
arboreal: ɑː'bɔːriəl
arboretum: ,ɑrbə'ritəm
arboriculture: 'ɑrbərɪ'kʌltʃɚ
arc: ɑːk
arcade: ɑː'keɪd
arch: ɑːtʃ
archaeocyte: ˈɑːrkiəsaɪt
archaeological: ˌɑːrkiə'lɑːdʒɪkl
archaeologist: ,ɑrkɪ'ɑlədʒɪst
archaeology: ,ɑrkɪ'ɑlədʒi
archaeopteryx: 'ɑrkɪ'ɑptɛrɪks
archaic: ɑː'keɪɪk
archbishop: ,ɑrtʃ'bɪʃəp
archeology: ,ɑrki'ɑlədʒi
archetype: 'ɑrkə'taɪp
archipelago: 'ɑrkə'pɛlə'go
architect: 'ɑːkɪtekt
architecture: 'ɑːkɪtektʃə(r)
archive: 'ɑːkaɪv
archives: 'a:kaivz
arctic: 'ɑːktɪk
ardent: 'ɑːd(ə)nt
ardor: 'ɑrdɚ
arduous: 'ɑːdjʊəs
are: ɑr
area: ˈeərɪə
arena: ə'riːnə
argon: 'ɑrgɑn
arguable: 'ɑrɡjuəbl
argue: 'ɑːgjuː
argument: 'ɑːgjʊmənt
argumentation: ,ɑrɡjumən'teʃən
aria: 'ɑrɪə
arid: 'ærɪd
aridity: ə'rɪdəti
arise: ə'raɪz
aristocracy: ,ærɪ'stɑkrəsi
aristocrat: ə'rɪstəkræt
aristocratic: ə,rɪstə'krætɪk
arithmetic: ə'rɪθmətɪk
arm: ɑːm
armada: ɑː'mɑːdə
armchair: 'ɑrmtʃɛr
armful: 'ɑ:mful
armor: 'ɑrmɚ
armory: 'ɑrməri
armour: 'ɑːmə
army: ˈɑːmɪ
aroma: ə'romə
aromatic: ,ærə'mætɪk
around: əˈraʊnd
arousal: ə'rauzl
arouse: ə'raʊz
arraign: ə'rein
arrange: ə'reɪndʒ
arrangement: ə'reɪndʒmənt
arrant: 'ærənt
array: ə'reɪ
arrear: ə'rɪr
